Index,Manufacturer Part Number,Manufacturer Name,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Reference Designator,Product Notes
1,"PLVA650A,215",Nexperia USA Inc.,1,1,Cut Tape (CT),1727-5167-1-ND,0.65000,$0.65,1,D5,
2,SI01P10-TP,Micro Commercial Co,1,1,Cut Tape (CT),353-SI01P10-TPCT-ND,0.59000,$0.59,1,Q5,
3,AP63205WU-7,Diodes Incorporated,1,1,Cut Tape (CT),AP63205WU-7DICT-ND,1.33000,$1.33,1,U4,
4,0436500201,Molex,1,1,Tray,WM1865-ND,2.00000,$2.00,1,J10,
5,G5LE-14 DC5,Omron Electronics Inc-EMC Div,4,4,Tray,Z1011-ND,2.38000,$9.52,1,"K1,K2,K3,K4",
6,1N4007FL,SMC Diode Solutions,4,4,Cut Tape (CT),1655-1N4007FLCT-ND,0.19000,$0.76,1,"FD1,FD2,FD3,FD4",
7,ISO1540D,Texas Instruments,2,2,Tube,296-34896-5-ND,9.46000,$18.92,1,"U1,U2",
8,5055670271,Molex,4,4,Cut Tape (CT),WM17038CT-ND,1.32000,$5.28,1,"J1,J2,J3,J4",
9,0393570003,Molex,4,4,Bag,WM7878-ND,2.67000,$10.68,1,"JK1,JK2,JK3,JK4",
10,CL10B104KB8NNWC,Samsung Electro-Mechanics,1,1,Cut Tape (CT),1276-1935-1-ND,0.14000,$0.14,1,C3,
11,LQM18PH4R7MFRL,Murata Electronics,1,1,Cut Tape (CT),490-LQM18PH4R7MFRLCT-ND,0.57000,$0.57,1,L1,
12,CL10A106MQ8NNNC,Samsung Electro-Mechanics,1,1,Cut Tape (CT),1276-1119-1-ND,0.16000,$0.16,1,C4,
13,MMBT2222A-7-F,Diodes Incorporated,4,4,Cut Tape (CT),MMBT2222A-FDICT-ND,0.21000,$0.84,1,"Q1,Q2,Q3,Q4",
14,LTST-C191KRKT,Lite-On Inc.,4,4,Cut Tape (CT),160-1447-1-ND,0.40000,$1.60,1,"D1,D2,D3,D4",
15,RC0603FR-0710KL,YAGEO,5,5,Cut Tape (CT),311-10.0KHRCT-ND,0.15000,$0.75,1,"R3,R6,R9,R12,R13",
16,RC0805FR-0710KL,YAGEO,4,4,Cut Tape (CT),311-10.0KCRCT-ND,0.15000,$0.60,1,"R1,R4,R7,R10",
17,RC0603FR-071KL,YAGEO,4,4,Cut Tape (CT),311-1.00KHRCT-ND,0.15000,$0.60,1,"R2,R5,R8,R11",
